Date,Open,High,Low,Close,Volume (BTC),Volume (Currency),Weighted Price
2016-08-15,574.97,574.97,561.56,567.79,4403.16173516,2505129.6426,568.938820165
2016-08-16,567.85,581.99,566.09,579.02,4692.46182455,2693599.58337,574.026957294
2016-08-17,579.02,581.99,569.67,574.45,4509.7743737,2594893.88826,575.393284283
2016-08-18,574.45,576.99,573.0,574.09,3964.9989895,2280602.94865,575.183740194
2016-08-19,574.05,576.99,572.68,573.67,4038.30300064,2321699.80197,574.919663434
2016-08-20,573.68,583.92,572.38,581.87,3581.22425349,2072410.69445,578.68777484
2016-08-21,581.72,583.99,579.34,581.29,2442.63374814,1420763.14559,581.652139487
2016-08-22,581.34,586.99,579.22,585.2,4493.44110907,2621251.58049,583.350602993
2016-08-23,585.19,586.77,577.47,582.39,5092.27462505,2965455.45756,582.343977084
2016-08-24,582.39,582.68,575.29,578.47,3857.02318764,2234932.73016,579.444981643
2016-08-25,578.68,579.0,573.12,575.58,4109.11256132,2364832.99556,575.509422112
2016-08-26,575.57,579.86,574.85,579.29,3354.18317104,1938444.84301,577.918600196
2016-08-27,579.29,579.45,568.95,570.84,3059.49308936,1755464.47682,573.776251668
2016-08-28,570.83,575.41,569.65,575.41,2587.45426087,1481471.09065,572.559334884
2016-08-29,575.41,577.73,571.24,573.21,4569.5624841,2623367.94796,574.09608843
2016-08-30,573.21,576.83,572.53,574.95,4175.84646427,2400313.55407,574.808862014
2016-08-31,574.95,575.15,569.21,572.89,4439.62383694,2540916.04626,572.326877138
2016-09-01,572.89,573.31,568.12,573.02,5203.40066602,2972785.35704,571.315865883
2016-09-02,572.94,577.97,570.0,576.21,4827.43459895,2771645.64247,574.144628095
2016-09-03,576.41,600.99,574.67,600.91,4707.9044818,2753882.82303,584.948746024
2016-09-04,600.93,617.13,597.52,611.92,4592.85098189,2796307.00551,608.839044972
2016-09-05,611.94,611.99,601.63,605.69,3010.75003224,1827741.4154,607.071791357
2016-09-06,605.93,612.99,605.47,612.99,4169.69788463,2541235.54783,609.453158991
2016-09-07,612.99,618.53,609.21,615.21,4680.9577166,2873072.9247,613.778867199
2016-09-08,615.22,631.3,613.43,627.97,5225.03677269,3262101.43225,624.321239097
2016-09-09,627.97,628.69,618.25,622.07,4502.86557587,2803216.88107,622.540654132
2016-09-10,622.07,626.54,620.59,623.74,2819.13150751,1757592.52073,623.451767342
2016-09-11,623.58,630.11,591.8,607.94,4289.6247761,2642467.3002,616.013623133
2016-09-12,607.94,609.45,603.0,606.74,3986.16471563,2419095.25952,606.872879596
2016-09-13,606.86,609.99,605.16,608.63,3888.07052292,2364040.0215,608.023956243
2016-09-14,608.39,611.99,608.0,608.43,3744.74317438,2283444.13083,609.773227295
2016-09-15,608.47,609.49,603.33,605.44,3965.6919502,2409804.86264,607.663150064
2016-09-16,605.43,608.1,603.15,607.93,4171.00563277,2531229.11802,606.863030375
2016-09-17,607.95,608.99,604.0,607.92,2942.64908837,1787453.14516,607.429935231
2016-09-18,607.92,611.93,607.22,611.4,3091.45513304,1883984.47755,609.416729815
2016-09-19,611.4,612.46,607.4,608.6,3096.46853792,1886879.80255,609.365081364
2016-09-20,608.6,609.92,605.6,605.6,4601.69967614,2800581.22327,608.597131576
2016-09-21,605.6,605.6,592.63,597.0,4885.89704059,2919589.6838,597.554483761
2016-09-22,597.0,598.54,594.78,596.21,3998.40601014,2385894.86929,596.711505345
2016-09-23,595.99,603.3,595.14,602.96,3759.0236907,2254328.12252,599.711070749
2016-09-24,602.96,605.94,601.08,603.68,2646.49759755,1597999.9568,603.816893045
